Date,Pen,Tag,Start_Time,End_Time,Total_Time,Total_Time,Nose_Rub,Water_Lap,Idle
24/02/2022,101,449H,10:45:57,10:47:28,0:01:31,1.52,0,1,0
24/02/2022,101,358H,10:51:45,10:52:06,0:00:21,0.35,0,0,1
24/02/2022,101,34H,11:18:17,11:20:24,0:02:07,2.12,1,1,0
24/02/2022,101,358H,11:25:09,11:27:07,0:01:58,1.97,0,1,0
24/02/2022,101,377H,11:54:18,11:55:28,0:01:10,1.17,0,1,0
24/02/2022,101,358H,12:32:40,12:33:48,0:01:08,1.13,0,1,0
24/02/2022,101,358H,12:34:34,12:35:06,0:00:32,0.53,0,0,0
24/02/2022,101,366H,12:57:58,13:00:30,0:02:32,2.53,1,1,0
24/02/2022,101,34H,13:27:49,13:29:07,0:01:18,1.3,1,1,0
24/02/2022,101,34H,13:29:28,13:32:55,0:03:27,3.45,1,1,0
24/02/2022,101,51H,13:41:02,13:43:41,0:02:39,2.65,1,0,0
24/02/2022,101,449H,13:56:58,13:58:43,0:01:45,1.75,0,1,0
24/02/2022,101,333H,14:05:18,14:07:03,0:01:45,1.75,0,0,0
24/02/2022,101,8H,14:09:52,14:11:24,0:01:32,1.53,0,0,0
24/02/2022,101,22H,14:52:51,14:53:48,0:00:57,0.95,0,0,0
24/02/2022,101,22H,14:55:08,14:55:21,0:00:13,0.22,0,0,0
24/02/2022,101,366H,14:55:23,14:56:03,0:00:40,0.67,0,0,0
24/02/2022,101,51H,14:57:59,14:58:21,0:00:22,0.37,0,0,0
24/02/2022,101,51H,14:58:38,14:59:24,0:00:46,0.77,0,0,0
24/02/2022,101,333H,15:02:41,15:04:35,0:01:54,1.9,1,0,0
24/02/2022,101,12H,15:09:03,15:10:13,0:01:10,1.17,0,0,0
24/02/2022,101,323H,15:13:46,15:17:56,0:04:10,4.17,0,1,0
24/02/2022,101,377H,16:17:13,16:18:21,0:01:08,1.13,0,1,0
24/02/2022,101,449H,16:39:29,16:40:57,0:01:28,1.47,0,1,0
24/02/2022,101,377H,16:56:36,16:56:59,0:00:23,0.38,0,1,0
24/02/2022,101,57H,17:01:03,17:02:54,0:01:51,1.85,0,1,0
24/02/2022,101,51H,17:20:27,17:20:55,0:00:28,0.47,0,0,0
24/02/2022,101,22H,17:36:07,17:38:37,0:02:30,2.5,0,0,0
24/02/2022,110,372H,16:19:11,16:20:25,0:01:14,1.23,0,1,0
24/02/2022,111,372H,16:21:17,16:22:13,0:00:56,0.93,0,1,0
24/02/2022,114,27H,22:30:47,22:31:16,0:00:29,0.48,0,0,0
24/02/2022,114,27H,10:45:18,10:45:50,0:00:32,0.53,1,0,0
24/02/2022,115,43F,10:46:47,10:47:28,0:00:41,0.68,0,0,0
24/02/2022,115,365H,10:48:22,10:49:25,0:01:03,1.05,0,1,0
24/02/2022,114,32H,10:58:29,10:59:27,0:00:58,0.97,0,0,0
24/02/2022,115,N/A,11:00:56,11:01:12,0:00:16,0.27,0,0,0
24/02/2022,114,50H,11:01:18,11:01:53,0:00:35,0.58,0,0,0
24/02/2022,115,50H,11:02:50,11:02:59,0:00:09,0.15,0,0,0
24/02/2022,115,3G,11:05:49,11:06:13,0:00:24,0.4,0,0,0
24/02/2022,114,54F,11:24:01,11:25:01,0:01:00,1,0,1,0
24/02/2022,115,12F,11:39:04,11:40:04,0:01:00,1,1,0,0
24/02/2022,114,10G,11:56:07,11:56:37,0:00:30,0.5,0,0,0
24/02/2022,114,365H,11:57:40,11:58:45,0:01:05,1.08,0,1,0
24/02/2022,115,365H,11:59:14,11:59:39,0:00:25,0.42,0,1,0
24/02/2022,114,N/A,12:12:41,12:12:50,0:00:09,0.15,0,0,0
24/02/2022,114,N/A,12:13:15,12:13:46,0:00:31,0.52,0,0,0
24/02/2022,114,54F,12:38:52,12:39:33,0:00:41,0.68,0,0,0
24/02/2022,115,10G,13:58:30,13:58:56,0:00:26,0.43,0,0,0
24/02/2022,114,43F,14:08:33,14:09:30,0:00:57,0.95,0,0,0
24/02/2022,114,32H,14:14:22,14:14:39,0:00:17,0.28,0,0,0
24/02/2022,114,50H,14:19:00,14:19:26,0:00:26,0.43,0,0,0
24/02/2022,114,3G,14:48:01,14:48:42,0:00:41,0.68,1,0,0
24/02/2022,120,53F,10:31:11,10:31:48,0:00:37,0.62,0,0,0
24/02/2022,121,25X,10:37:02,10:38:05,0:01:03,1.05,0,1,0
24/02/2022,120,63F,10:37:54,10:39:13,0:01:19,1.32,0,0,0
24/02/2022,121,78F,10:38:20,10:40:39,0:02:19,2.32,0,0,0
24/02/2022,121,83F,10:41:17,10:44:08,0:02:51,2.85,0,0,0
24/02/2022,121,25X,10:45:39,10:46:50,0:01:11,1.18,0,0,0
24/02/2022,121,83F,10:49:09,10:50:32,0:01:23,1.38,0,0,0
24/02/2022,121,83F,10:53:00,10:53:17,0:00:17,0.28,0,0,1
24/02/2022,121,83F,10:53:47,10:54:11,0:00:24,0.4,0,0,1
24/02/2022,121,54E,10:55:54,11:00:02,0:04:08,4.13,1,1,0
24/02/2022,120,64C,10:57:24,11:00:25,0:03:01,3.02,0,0,0
24/02/2022,120,16E,11:01:13,11:02:59,0:01:46,1.77,0,0,0
24/02/2022,121,N/A,11:01:51,11:03:39,0:01:48,1.8,0,0,0
24/02/2022,121,25X,11:08:28,11:09:46,0:01:18,1.3,0,0,1
24/02/2022,120,63F,11:09:59,11:10:53,0:00:54,0.9,0,0,0
